strain,type,potency,rating,review_count,reports,Anxiety ,Creative ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Focused ,Happy ,Headache ,Insomnia ,Pain ,Paranoid ,Stress ,Uplifted ,ADD/ADHD ,Fatigue ,Giggly ,Muscle spasms ,Relaxed ,Energetic ,Inflammation ,Cramps ,Headaches ,Sleepy ,Tingly ,Hungry ,Anxious ,PTSD ,Lack of appetite ,Talkative ,Nausea ,Bipolar disorder ,Fibromyalgia ,Spasticity ,Migraines ,Aroused ,Eye pressure ,Multiple sclerosis ,Gastrointestinal disorder ,Alzheimer's ,PMS ,Arthritis ,Epilepsy ,Seizures ,Asthma ,Parkinson's ,Spinal cord injury ,Tourette's syndrome ,Anorexia ,Tinnitus ,Cancer ,Muscular dystrophy ,Phantom limb pain ,Hypertension ,Crohn's disease ,Glaucoma ,HIV/AIDS 
Thai Girl,Hybrid,THC 16%,4.0,(26),18 people reported 88 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['11% of people say it helps with anxiety'],,['16% of people say it helps with depression'],['11% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['16% of people report feeling dry mouth'],['38% of people report feeling euphoric'],,['33% of people report feeling happy'],,,,,['22% of people say it helps with stress'],['38% of people report feeling uplifted'],,['16% of people say it helps with fatigue'],,,['38% of people report feeling relaxed'],['33% of people report feeling energetic'],,,['11% of people say it helps with headaches'],,,,['16% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai Haze,Sativa,Unavailable,4.4,(26),16 people reported 142 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['31% of people say it helps with anxiety'],['56% of people report feeling creative'],['31% of people say it helps with depression'],['12% of people report feeling dizzy'],['6% of people report feeling dry eyes'],['12% of people report feeling dry mouth'],,['37% of people report feeling focused'],['68% of people report feeling happy'],['6% of people report feeling headache'],,['25% of people say it helps with pain'],,['25% of people say it helps with stress'],,['25% of people say it helps with add/adhd'],,,,,['50% of people report feeling energetic'],,,,,,,['18% of people report feeling anxious'],,,,,,,,,['50% of people report feeling aroused'],,,,,,,,,,,,,,,,,,,,,
Thai Lights,Hybrid,THC 11%,4.7,(46),29 people reported 223 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['27% of people say it helps with depression'],['3% of people report feeling dizzy'],['6% of people report feeling dry eyes'],['24% of people report feeling dry mouth'],['48% of people report feeling euphoric'],,['62% of people report feeling happy'],,['20% of people say it helps with insomnia'],,,['31% of people say it helps with stress'],['58% of people report feeling uplifted'],,,,,['55% of people report feeling relaxed'],['44% of people report feeling energetic'],,,['24% of people say it helps with headaches'],,,,['6% of people report feeling anxious'],,['24% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai-Tanic,Sativa,Unavailable,3.8,(15),14 people reported 72 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['14% of people say it helps with anxiety'],,,['7% of people report feeling dizzy'],['35% of people report feeling dry eyes'],['50% of people report feeling dry mouth'],['42% of people report feeling euphoric'],['35% of people report feeling focused'],['42% of people report feeling happy'],,['14% of people say it helps with insomnia'],['14% of people say it helps with pain'],['14% of people report feeling paranoid'],['28% of people say it helps with stress'],['57% of people report feeling uplifted'],,['7% of people say it helps with fatigue'],,,,['21% of people report feeling energetic'],,,,,,,['14% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailato,Unavailable,THC 24%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thank You Jerry,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Big Dirty,Hybrid,THC 17%,5.0,(3),1 people reported 12 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['100% of people say it helps with depression'],,,,,,,,,['100% of people say it helps with pain'],,,['100% of people report feeling uplifted'],,,,,['100% of people report feeling relaxed'],,['100% of people say it helps with inflammation'],,,,,['100% of people report feeling hungry'],,,['100% of people say it helps with lack of appetite'],,['100% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
The Bizz,Unavailable,THC 24%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Black,Indica,THC 16%,4.4,(79),56 people reported 422 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['23% of people say it helps with anxiety'],,,['1% of people report feeling dizzy'],['12% of people report feeling dry eyes'],['32% of people report feeling dry mouth'],['42% of people report feeling euphoric'],,['35% of people report feeling happy'],,['46% of people say it helps with insomnia'],['44% of people say it helps with pain'],['3% of people report feeling paranoid'],['33% of people say it helps with stress'],,,,,,['83% of people report feeling relaxed'],,['23% of people say it helps with inflammation'],,,['67% of people report feeling sleepy'],,['21% of people report feeling hungry'],['5% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bling,Hybrid,THC 15%,4.5,(6),4 people reported 20 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,['75% of people report feeling euphoric'],,['50% of people report feeling happy'],,,,,,['75% of people report feeling uplifted'],,,,,,['75% of people report feeling energetic'],,,,,,,['25% of people report feeling anxious'],,,['50% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
The Blintz,Hybrid,Unavailable,4.8,(5),3 people reported 22 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['66% of people report feeling creative'],,,,,,['66% of people report feeling focused'],['66% of people report feeling happy'],,,['33% of people say it helps with pain'],,,['100% of people report feeling uplifted'],,['33% of people say it helps with fatigue'],,,,['66% of people report feeling energetic'],,['33% of people say it helps with cramps'],,,,,,,['33% of people say it helps with lack of appetite'],,['33% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
The Blood,Sativa,Unavailable,4.7,(20),11 people reported 92 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['63% of people report feeling creative'],['18% of people say it helps with depression'],,,['9% of people report feeling dry mouth'],,,['63% of people report feeling happy'],,,,,['36% of people say it helps with stress'],['63% of people report feeling uplifted'],,['18% of people say it helps with fatigue'],,,['45% of people report feeling relaxed'],['54% of people report feeling energetic'],,,['18% of people say it helps with headaches'],,,,,['27% of people say it helps with ptsd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Boss,Hybrid,THC 20%,5.0,(2),2 people reported 28 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['50% of people say it helps with depression'],,['50% of people report feeling dry eyes'],['50% of people report feeling dry mouth'],['100% of people report feeling euphoric'],['100% of people report feeling focused'],,,,['50% of people say it helps with pain'],,,['100% of people report feeling uplifted'],,,,,['100% of people report feeling relaxed'],,,['50% of people say it helps with cramps'],['50% of people say it helps with headaches'],,['50% of people report feeling tingly'],,,,['50% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Brotherhood,Hybrid,Unavailable,4.6,(9),7 people reported 39 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['14% of people say it helps with depression'],,['14% of people report feeling dry eyes'],['57% of people report feeling dry mouth'],['42% of people report feeling euphoric'],,['71% of people report feeling happy'],,,['14% of people say it helps with pain'],,['42% of people say it helps with stress'],['42% of people report feeling uplifted'],,['14% of people say it helps with fatigue'],,,['57% of people report feeling relaxed'],['42% of people report feeling energetic'],,['14% of people say it helps with cramps'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The CBG Blend,Hybrid,THC 14%,5.0,(5),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cookie Jar,Hybrid,THC 19%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cough,Sativa,THC 22%,4.3,(31),16 people reported 143 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['25% of people say it helps with anxiety'],,['31% of people say it helps with depression'],['6% of people report feeling dizzy'],,['31% of people report feeling dry mouth'],['56% of people report feeling euphoric'],,['43% of people report feeling happy'],,,['25% of people say it helps with pain'],['6% of people report feeling paranoid'],['50% of people say it helps with stress'],['62% of people report feeling uplifted'],,['25% of people say it helps with fatigue'],['43% of people report feeling giggly'],,,['50% of people report feeling energetic'],,,,,,,['12% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cube,Hybrid,THC 18%,5.0,(1),1 people reported 4 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,['100% of people report feeling euphoric'],,['100% of people report feeling happy'],,,,,,,,,,,['100% of people report feeling relaxed'],,,,,['100% of people report feeling sleepy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Doctor,Indica,THC 21%,4.3,(39),25 people reported 248 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['24% of people say it helps with depression'],['4% of people report feeling dizzy'],['20% of people report feeling dry eyes'],['32% of people report feeling dry mouth'],['56% of people report feeling euphoric'],,['56% of people report feeling happy'],,['32% of people say it helps with insomnia'],['44% of people say it helps with pain'],['4% of people report feeling paranoid'],['40% of people say it helps with stress'],,,,['40% of people report feeling giggly'],,['68% of people report feeling relaxed'],,['28% of people say it helps with inflammation'],,,['44% of people report feeling sleepy'],,,['4% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Don Mega,Hybrid,THC 24%,5.0,(2),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Eclipse,Unavailable,THC 26%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Flav,Hybrid,THC 18%,4.2,(48),41 people reported 299 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['24% of people say it helps with anxiety'],,['31% of people say it helps with depression'],['7% of people report feeling dizzy'],['19% of people report feeling dry eyes'],['29% of people report feeling dry mouth'],['60% of people report feeling euphoric'],,['51% of people report feeling happy'],['2% of people report feeling headache'],,['26% of people say it helps with pain'],,['48% of people say it helps with stress'],['56% of people report feeling uplifted'],,,,,['41% of people report feeling relaxed'],['34% of people report feeling energetic'],,,['9% of people say it helps with headaches'],,,,['4% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Forbidden Candy,Hybrid,Unavailable,4.7,(6),1 people reported 6 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['100% of people report feeling creative'],,,,,['100% of people report feeling euphoric'],['100% of people report feeling focused'],,,,,,,['100% of people report feeling uplifted'],,,,,['100% of people report feeling relaxed'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fork,Sativa,THC 20%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fuzz,Hybrid,Unavailable,4.7,(3),2 people reported 3 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,,,,,,,,,['50% of people report feeling uplifted'],,,,,,['50% of people report feeling energetic'],,,,,,,,,,['50% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gift,Hybrid,THC 15%,4.9,(10),6 people reported 69 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['66% of people say it helps with anxiety'],,,,,,,['33% of people report feeling focused'],,,,['50% of people say it helps with pain'],,['50% of people say it helps with stress'],['66% of people report feeling uplifted'],,,,['50% of people say it helps with muscle spasms'],['66% of people report feeling relaxed'],['50% of people report feeling energetic'],['50% of people say it helps with inflammation'],,,,,,,,,,,,,,,['50% of people report feeling aroused'],,,,,,,,,,,,,,,,,,,,,
The Grape Gatsby,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Great Ha'Tuh,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grunk,Hybrid,THC 19%,4.6,(43),27 people reported 189 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['18% of people say it helps with anxiety'],,['18% of people say it helps with depression'],['3% of people report feeling dizzy'],['14% of people report feeling dry eyes'],['22% of people report feeling dry mouth'],['66% of people report feeling euphoric'],,['66% of people report feeling happy'],,,['22% of people say it helps with pain'],['7% of people report feeling paranoid'],,['55% of people report feeling uplifted'],,,,,['51% of people report feeling relaxed'],,,,,,['29% of people report feeling tingly'],,['7% of people report feeling anxious'],,['18% of people say it helps with lack of appetite'],,['14% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
The Guice,Hybrid,THC 19%,4.9,(15),11 people reported 85 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['27% of people say it helps with depression'],['9% of people report feeling dizzy'],['18% of people report feeling dry eyes'],['27% of people report feeling dry mouth'],['72% of people report feeling euphoric'],['54% of people report feeling focused'],['45% of people report feeling happy'],,,,,['36% of people say it helps with stress'],['54% of people report feeling uplifted'],,['18% of people say it helps with fatigue'],,,['54% of people report feeling relaxed'],,,,['18% of people say it helps with headaches'],,,,['9% of people report feeling anxious'],,['18% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hog,Indica,THC 19%,4.1,(136),98 people reported 719 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['31% of people say it helps with anxiety'],,['21% of people say it helps with depression'],['9% of people report feeling dizzy'],['19% of people report feeling dry eyes'],['29% of people report feeling dry mouth'],['54% of people report feeling euphoric'],,['44% of people report feeling happy'],,['29% of people say it helps with insomnia'],['35% of people say it helps with pain'],['5% of people report feeling paranoid'],['37% of people say it helps with stress'],['26% of people report feeling uplifted'],,,,,['60% of people report feeling relaxed'],,,,,['53% of people report feeling sleepy'],,,['4% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Juice,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lime,Hybrid,THC 17%,5.0,(4),2 people reported 11 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['50% of people say it helps with anxiety'],,,,,,['50% of people report feeling euphoric'],,['100% of people report feeling happy'],,,,,,,,,,,['50% of people report feeling relaxed'],,,,,,['50% of people report feeling tingly'],['50% of people report feeling hungry'],,,,,,,,,['50% of people say it helps with migraines'],,['50% of people say it helps with eye pressure'],,,,,,,,,,,,,,,,,,,,
The Loops,Indica,Unavailable,4.8,(5),4 people reported 33 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['75% of people report feeling creative'],['75% of people say it helps with depression'],,,['25% of people report feeling dry mouth'],,,['75% of people report feeling happy'],,['75% of people say it helps with insomnia'],,,['50% of people say it helps with stress'],,,,,,['100% of people report feeling relaxed'],,['25% of people say it helps with inflammation'],,['25% of people say it helps with headaches'],['50% of people report feeling sleepy'],,['50% of people report feeling hungry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Menthol,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mountain,Hybrid,THC 22%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The OX,Indica,THC 20%,4.8,(20),17 people reported 129 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['23% of people say it helps with depression'],,['11% of people report feeling dry eyes'],['17% of people report feeling dry mouth'],['41% of people report feeling euphoric'],,['41% of people report feeling happy'],,,['58% of people say it helps with pain'],,['52% of people say it helps with stress'],['23% of people report feeling uplifted'],,,,['23% of people say it helps with muscle spasms'],['94% of people report feeling relaxed'],,['35% of people say it helps with inflammation'],,,,,['35% of people report feeling hungry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The One,Hybrid,THC 19%,4.8,(37),24 people reported 220 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],['45% of people report feeling creative'],['37% of people say it helps with depression'],,['16% of people report feeling dry eyes'],['29% of people report feeling dry mouth'],['66% of people report feeling euphoric'],,['75% of people report feeling happy'],,,['37% of people say it helps with pain'],,['37% of people say it helps with stress'],['54% of people report feeling uplifted'],,['25% of people say it helps with fatigue'],,,['70% of people report feeling relaxed'],,,,,,,,['8% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ooze,Indica,Unavailable,4.0,(6),3 people reported 32 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,['33% of people report feeling dizzy'],['33% of people report feeling dry eyes'],['66% of people report feeling dry mouth'],,['66% of people report feeling focused'],['66% of people report feeling happy'],['33% of people report feeling headache'],,,,,['100% of people report feeling uplifted'],,['33% of people say it helps with fatigue'],,,['66% of people report feeling relaxed'],,,,['33% of people say it helps with headaches'],,['66% of people report feeling tingly'],,,,['33% of people say it helps with lack of appetite'],,['33% of people say it helps with nausea'],,,,,,['66% of people say it helps with eye pressure'],,,,,,,,,,,,,,,,,,,,
The Pink Goat,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Real McCoy,Hybrid,THC 24%,4.8,(4),4 people reported 31 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['25% of people say it helps with depression'],,['25% of people report feeling dry eyes'],,,,['25% of people report feeling happy'],,,['50% of people say it helps with pain'],,,['75% of people report feeling uplifted'],,,,['50% of people say it helps with muscle spasms'],['75% of people report feeling relaxed'],,,['25% of people say it helps with cramps'],['50% of people say it helps with headaches'],['50% of people report feeling sleepy'],['75% of people report feeling tingly'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sauce,Hybrid,THC 18%,4.7,(54),41 people reported 357 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['31% of people say it helps with anxiety'],['41% of people report feeling creative'],['36% of people say it helps with depression'],,['9% of people report feeling dry eyes'],['9% of people report feeling dry mouth'],['58% of people report feeling euphoric'],,['53% of people report feeling happy'],,,['26% of people say it helps with pain'],['2% of people report feeling paranoid'],['39% of people say it helps with stress'],['43% of people report feeling uplifted'],,['26% of people say it helps with fatigue'],,,['46% of people report feeling relaxed'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sheriff,Hybrid,Unavailable,4.0,(1),1 people reported 8 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,['100% of people report feeling dry eyes'],,,,,,,,,,['100% of people report feeling uplifted'],['100% of people say it helps with add/adhd'],,,,['100% of people report feeling relaxed'],,,,,['100% of people report feeling sleepy'],,,,['100% of people say it helps with ptsd'],,,,['100% of people say it helps with bipolar disorder'],,,,,['100% of people say it helps with eye pressure'],,,,,,,,,,,,,,,,,,,,
The Sister,Indica,THC 33%,4.3,(7),5 people reported 50 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['60% of people say it helps with anxiety'],,['60% of people say it helps with depression'],['20% of people report feeling dizzy'],['20% of people report feeling dry eyes'],['20% of people report feeling dry mouth'],,['40% of people report feeling focused'],['40% of people report feeling happy'],,,['60% of people say it helps with pain'],,,['60% of people report feeling uplifted'],,,,,['80% of people report feeling relaxed'],,,,['40% of people say it helps with headaches'],,,['40% of people report feeling hungry'],,,['40% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Soap,Hybrid,THC 24%,5.0,(1),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Truth,Hybrid,THC 18%,4.6,(93),65 people reported 474 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['24% of people say it helps with anxiety'],,['20% of people say it helps with depression'],['1% of people report feeling dizzy'],['6% of people report feeling dry eyes'],['10% of people report feeling dry mouth'],['49% of people report feeling euphoric'],,['55% of people report feeling happy'],['1% of people report feeling headache'],,['29% of people say it helps with pain'],,['26% of people say it helps with stress'],['44% of people report feeling uplifted'],,,,,['66% of people report feeling relaxed'],,,,,,,,['1% of people report feeling anxious'],,,['29% of people report feeling talkative'],['15% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
The Vision,Hybrid,THC 23%,4.8,(25),18 people reported 138 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['38% of people say it helps with anxiety'],,['27% of people say it helps with depression'],['5% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['22% of people report feeling dry mouth'],['50% of people report feeling euphoric'],,['44% of people report feeling happy'],,['22% of people say it helps with insomnia'],['33% of people say it helps with pain'],['16% of people report feeling paranoid'],,['44% of people report feeling uplifted'],,['22% of people say it helps with fatigue'],,,['61% of people report feeling relaxed'],,,,,,['61% of people report feeling tingly'],,['5% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Void,Hybrid,THC 27%,4.4,(59),46 people reported 358 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['30% of people say it helps with anxiety'],['30% of people report feeling creative'],['36% of people say it helps with depression'],['8% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['34% of people report feeling dry mouth'],['54% of people report feeling euphoric'],,['50% of people report feeling happy'],['4% of people report feeling headache'],,['23% of people say it helps with pain'],['10% of people report feeling paranoid'],['41% of people say it helps with stress'],['52% of people report feeling uplifted'],,['21% of people say it helps with fatigue'],,,['50% of people report feeling relaxed'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The White,Hybrid,THC 21%,4.5,(363),262 people reported 2070 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['30% of people say it helps with anxiety'],,['22% of people say it helps with depression'],['12% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['25% of people report feeling dry mouth'],['53% of people report feeling euphoric'],,['53% of people report feeling happy'],,['28% of people say it helps with insomnia'],['33% of people say it helps with pain'],['5% of people report feeling paranoid'],['35% of people say it helps with stress'],['37% of people report feeling uplifted'],,,,,['63% of people report feeling relaxed'],,,,,['34% of people report feeling sleepy'],,,['5% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The White Angel,Hybrid,THC 27%,4.6,(8),6 people reported 31 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['33% of people say it helps with anxiety'],,['33% of people say it helps with depression'],,['33% of people report feeling dry eyes'],['16% of people report feeling dry mouth'],['33% of people report feeling euphoric'],['16% of people report feeling focused'],,,['33% of people say it helps with insomnia'],,,['33% of people say it helps with stress'],,,,,,['50% of people report feeling relaxed'],,,,,['33% of people report feeling sleepy'],['16% of people report feeling tingly'],,['16% of people report feeling anxious'],['33% of people say it helps with ptsd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wife,Hybrid,Unavailable,4.7,(49),36 people reported 209 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,['2% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['8% of people report feeling dry mouth'],['19% of people report feeling euphoric'],['19% of people report feeling focused'],['41% of people report feeling happy'],['2% of people report feeling headache'],,['44% of people say it helps with pain'],,['41% of people say it helps with stress'],['30% of people report feeling uplifted'],,,,['22% of people say it helps with muscle spasms'],['55% of people report feeling relaxed'],,['27% of people say it helps with inflammation'],,['27% of people say it helps with headaches'],,,,['2% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wills,Hybrid,Unavailable,5.0,(3),1 people reported 1 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,,,,,,,,,,,,,,,,,,['100% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Woo 2,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Y,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thelonious Skunk,Hybrid,Unavailable,4.7,(15),12 people reported 142 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['50% of people say it helps with anxiety'],,['50% of people say it helps with depression'],['16% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['16% of people report feeling dry mouth'],['75% of people report feeling euphoric'],,['50% of people report feeling happy'],,,['50% of people say it helps with pain'],,,['66% of people report feeling uplifted'],['41% of people say it helps with add/adhd'],,,,['66% of people report feeling relaxed'],['33% of people report feeling energetic'],,,,,,,,,,,,,['41% of people say it helps with fibromyalgia'],,,,,,,,,,,,,,,,,,,,,,,,
Thick Wicket,Hybrid,THC 19%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
