strain,type,potency,rating,review_count,reports,Anxiety ,Anxious ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Happy ,Insomnia ,Pain ,Paranoid ,Relaxed ,Sleepy ,Stress ,Uplifted ,Hungry ,Creative ,Headache ,Energetic ,Fatigue ,PTSD ,Talkative ,Focused ,Headaches ,Lack of appetite ,Tingly ,Nausea ,Giggly ,Eye pressure ,Cramps ,Muscle spasms ,Bipolar disorder ,Inflammation ,Gastrointestinal disorder ,Migraines ,Asthma ,Aroused ,Spasticity ,ADD/ADHD ,PMS ,Arthritis ,Seizures ,Fibromyalgia ,Glaucoma ,Crohn's disease ,Cancer ,Spinal cord injury ,Hypertension ,Phantom limb pain ,Anorexia ,Epilepsy ,Tourette's syndrome ,Multiple sclerosis 
Thunderstruck,Sativa,Unavailable,4.8,(16),11 people reported 115 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['45% of people say it helps with anxiety'],,['27% of people say it helps with depression'],,,['9% of people report feeling dry mouth'],['36% of people report feeling euphoric'],['54% of people report feeling happy'],,['45% of people say it helps with pain'],,['81% of people report feeling relaxed'],,['36% of people say it helps with stress'],['54% of people report feeling uplifted'],,,['9% of people report feeling headache'],,,['36% of people say it helps with ptsd'],,['45% of people report feeling focused'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilz Nilz,Hybrid,THC 17%,4.4,(26),20 people reported 73 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['10% of people say it helps with depression'],,,['10% of people report feeling dry mouth'],['15% of people report feeling euphoric'],['30% of people report feeling happy'],,['15% of people say it helps with pain'],['15% of people report feeling paranoid'],,,,['20% of people report feeling uplifted'],,['15% of people report feeling creative'],,['25% of people report feeling energetic'],['15% of people say it helps with fatigue'],,,,['10% of people say it helps with headaches'],,,,,,,,,['10% of people say it helps with inflammation'],,,,,,,,,,,,,,,,,,,,
Devil's Tit,Sativa,THC 18%,4.3,(15),8 people reported 56 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['37% of people report feeling anxious'],['25% of people say it helps with depression'],,['12% of people report feeling dry eyes'],['12% of people report feeling dry mouth'],['37% of people report feeling euphoric'],['37% of people report feeling happy'],,,['12% of people report feeling paranoid'],,,['37% of people say it helps with stress'],,,['37% of people report feeling creative'],,['50% of people report feeling energetic'],,,,['62% of people report feeling focused'],['37% of people say it helps with headaches'],,,,,,['12% of people say it helps with cramps'],,,,,,,,,['37% of people say it helps with add/adhd'],,,,,,,,,,,,,,
Orange Apricot,Hybrid,THC 18%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pootie Tang,Hybrid,Unavailable,4.8,(10),6 people reported 9 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,['16% of people report feeling dry mouth'],,['50% of people report feeling happy'],,,,['16% of people report feeling relaxed'],,,,['16% of people report feeling hungry'],,,['16% of people report feeling energetic'],,,['33% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koloa Sunrise,Hybrid,THC 21%,5.0,(1),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deadlights,Hybrid,Unavailable,4.5,(11),9 people reported 62 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['33% of people say it helps with anxiety'],,,['11% of people report feeling dizzy'],['22% of people report feeling dry eyes'],['33% of people report feeling dry mouth'],,['33% of people report feeling happy'],,['55% of people say it helps with pain'],,['77% of people report feeling relaxed'],['44% of people report feeling sleepy'],['44% of people say it helps with stress'],['22% of people report feeling uplifted'],,,['11% of people report feeling headache'],,,,,['33% of people report feeling focused'],,,,,,,,['33% of people say it helps with muscle spasms'],,['55% of people say it helps with inflammation'],,,,,,,,,,,,,,,,,,,,
Blue Nightmare,Hybrid,Unavailable,4.6,(50),34 people reported 256 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['17% of people say it helps with anxiety'],['2% of people report feeling anxious'],['20% of people say it helps with depression'],['8% of people report feeling dizzy'],['2% of people report feeling dry eyes'],['11% of people report feeling dry mouth'],['55% of people report feeling euphoric'],['88% of people report feeling happy'],,['14% of people say it helps with pain'],['8% of people report feeling paranoid'],['70% of people report feeling relaxed'],,,,,['55% of people report feeling creative'],,,,,,,['14% of people say it helps with headaches'],,,['14% of people say it helps with nausea'],['47% of people report feeling giggly'],,,,,,,,,,,,,,,,,,,,,,,,,
Pandora's Box,Sativa,THC 18%,4.2,(137),94 people reported 710 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],,['24% of people say it helps with depression'],['6% of people report feeling dizzy'],['31% of people report feeling dry eyes'],['32% of people report feeling dry mouth'],['44% of people report feeling euphoric'],['43% of people report feeling happy'],,['24% of people say it helps with pain'],['7% of people report feeling paranoid'],['36% of people report feeling relaxed'],,['37% of people say it helps with stress'],['50% of people report feeling uplifted'],,,['7% of people report feeling headache'],['40% of people report feeling energetic'],,,,,,,,['17% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Jet-A,Hybrid,THC 20%,4.7,(3),3 people reported 12 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['33% of people report feeling anxious'],['33% of people say it helps with depression'],,['33% of people report feeling dry eyes'],,['66% of people report feeling euphoric'],,,,,['33% of people report feeling relaxed'],,['33% of people say it helps with stress'],['66% of people report feeling uplifted'],['33% of people report feeling hungry'],,,,,,,['33% of people report feeling focused'],,['33% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sour Breath,Sativa,THC 22%,4.2,(20),14 people reported 94 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['21% of people report feeling anxious'],['35% of people say it helps with depression'],,['35% of people report feeling dry eyes'],['28% of people report feeling dry mouth'],,['64% of people report feeling happy'],,,['7% of people report feeling paranoid'],,,['42% of people say it helps with stress'],['42% of people report feeling uplifted'],,['50% of people report feeling creative'],,['42% of people report feeling energetic'],,,,['64% of people report feeling focused'],,,,,,['14% of people say it helps with eye pressure'],['14% of people say it helps with cramps'],,,,,,,,,['14% of people say it helps with add/adhd'],,,,,,,,,,,,,,
Gelato Dream,Hybrid,THC 20%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaleidoscope,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Ice,Hybrid,THC 21%,4.8,(6),3 people reported 18 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['33% of people say it helps with depression'],['66% of people report feeling dizzy'],['33% of people report feeling dry eyes'],['33% of people report feeling dry mouth'],['66% of people report feeling euphoric'],,['33% of people say it helps with insomnia'],,,['66% of people report feeling relaxed'],['33% of people report feeling sleepy'],['66% of people say it helps with stress'],['33% of people report feeling uplifted'],['33% of people report feeling hungry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quebec Gold,Hybrid,Unavailable,4.5,(17),9 people reported 80 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['11% of people report feeling anxious'],['44% of people say it helps with depression'],['11% of people report feeling dizzy'],['33% of people report feeling dry eyes'],['55% of people report feeling dry mouth'],['66% of people report feeling euphoric'],['88% of people report feeling happy'],,,,['88% of people report feeling relaxed'],,['33% of people say it helps with stress'],['55% of people report feeling uplifted'],['55% of people report feeling hungry'],,,,['22% of people say it helps with fatigue'],,,,['22% of people say it helps with headaches'],['22% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brains Damage,Indica,Unavailable,4.5,(25),19 people reported 117 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['10% of people report feeling anxious'],['21% of people say it helps with depression'],['10% of people report feeling dizzy'],['10% of people report feeling dry eyes'],['42% of people report feeling dry mouth'],['31% of people report feeling euphoric'],['52% of people report feeling happy'],['31% of people say it helps with insomnia'],,,['42% of people report feeling relaxed'],['63% of people report feeling sleepy'],['31% of people say it helps with stress'],,['36% of people report feeling hungry'],,['5% of people report feeling headache'],,,,,,,['26% of people say it helps with lack of appetite'],,['15% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood OG,Hybrid,THC 17%,4.3,(55),37 people reported 242 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['8% of people report feeling anxious'],['18% of people say it helps with depression'],['2% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['18% of people report feeling dry mouth'],['32% of people report feeling euphoric'],['37% of people report feeling happy'],['21% of people say it helps with insomnia'],['24% of people say it helps with pain'],,['51% of people report feeling relaxed'],,['35% of people say it helps with stress'],['35% of people report feeling uplifted'],,,['10% of people report feeling headache'],,,,,['35% of people report feeling focused'],,,,['18% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Trainwreck,Hybrid,THC 19%,4.1,(63),46 people reported 399 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['34% of people say it helps with anxiety'],['6% of people report feeling anxious'],['23% of people say it helps with depression'],['8% of people report feeling dizzy'],['19% of people report feeling dry eyes'],['28% of people report feeling dry mouth'],['54% of people report feeling euphoric'],['47% of people report feeling happy'],['28% of people say it helps with insomnia'],['28% of people say it helps with pain'],['13% of people report feeling paranoid'],['45% of people report feeling relaxed'],,['45% of people say it helps with stress'],['41% of people report feeling uplifted'],['39% of people report feeling hungry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnt Cookies,Hybrid,Unavailable,4.9,(7),2 people reported 14 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,['50% of people report feeling dry mouth'],,,,,,['100% of people report feeling relaxed'],['50% of people report feeling sleepy'],['50% of people say it helps with stress'],['100% of people report feeling uplifted'],,,,,,,['100% of people report feeling talkative'],,['50% of people say it helps with headaches'],,['50% of people report feeling tingly'],,,['50% of people say it helps with eye pressure'],,,,,,,,,,,,,,,,,,,,,,,,
China Yunnan,Indica,Unavailable,4.4,(9),7 people reported 57 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],,['42% of people say it helps with depression'],,['28% of people report feeling dry eyes'],['28% of people report feeling dry mouth'],['57% of people report feeling euphoric'],['71% of people report feeling happy'],,,,['100% of people report feeling relaxed'],['71% of people report feeling sleepy'],['42% of people say it helps with stress'],['71% of people report feeling uplifted'],,,['14% of people report feeling headache'],,['14% of people say it helps with fatigue'],,,,['14% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jock Horror,Sativa,THC 17%,3.9,(24),18 people reported 138 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['22% of people say it helps with anxiety'],['11% of people report feeling anxious'],['44% of people say it helps with depression'],['16% of people report feeling dizzy'],['22% of people report feeling dry eyes'],['27% of people report feeling dry mouth'],['72% of people report feeling euphoric'],['72% of people report feeling happy'],,,['5% of people report feeling paranoid'],,,['33% of people say it helps with stress'],['38% of people report feeling uplifted'],['38% of people report feeling hungry'],,,['44% of people report feeling energetic'],['16% of people say it helps with fatigue'],,,,,['22% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venus OG,Hybrid,THC 17%,4.8,(10),9 people reported 72 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['33% of people say it helps with anxiety'],,['44% of people say it helps with depression'],,,['11% of people report feeling dry mouth'],['66% of people report feeling euphoric'],['66% of people report feeling happy'],,,,['66% of people report feeling relaxed'],,['44% of people say it helps with stress'],['55% of people report feeling uplifted'],,,,,,,,['55% of people report feeling focused'],['22% of people say it helps with headaches'],,,,,,,,['33% of people say it helps with bipolar disorder'],,,,,,,,,,,,,,,,,,,,,
Purple Afghan Kush,Indica,Unavailable,4.5,(4),3 people reported 16 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,['33% of people report feeling dry mouth'],,,['33% of people say it helps with insomnia'],['66% of people say it helps with pain'],,['66% of people report feeling relaxed'],['33% of people report feeling sleepy'],['66% of people say it helps with stress'],['33% of people report feeling uplifted'],['33% of people report feeling hungry'],,,,,,,,['33% of people say it helps with headaches'],['33% of people say it helps with lack of appetite'],,,,,,,,,,,,['33% of people report feeling aroused'],,,,,,,,,,,,,,,,
Mother of Grapes,Hybrid,THC 20%,4.8,(8),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818 OG,Indica,Unavailable,4.7,(34),17 people reported 102 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],,['35% of people say it helps with depression'],,['11% of people report feeling dry eyes'],['17% of people report feeling dry mouth'],,['47% of people report feeling happy'],['29% of people say it helps with insomnia'],['23% of people say it helps with pain'],,['47% of people report feeling relaxed'],['29% of people report feeling sleepy'],,['29% of people report feeling uplifted'],,,,,,,,,['17% of people say it helps with headaches'],,['17% of people report feeling tingly'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidential Cheese,Indica,THC 20%,4.4,(143),96 people reported 644 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['18% of people say it helps with anxiety'],['5% of people report feeling anxious'],['20% of people say it helps with depression'],['2% of people report feeling dizzy'],['9% of people report feeling dry eyes'],['16% of people report feeling dry mouth'],['44% of people report feeling euphoric'],['58% of people report feeling happy'],['15% of people say it helps with insomnia'],['21% of people say it helps with pain'],['5% of people report feeling paranoid'],['58% of people report feeling relaxed'],,['27% of people say it helps with stress'],['39% of people report feeling uplifted'],,['28% of people report feeling creative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elvis,Hybrid,THC 22%,4.5,(39),21 people reported 153 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['9% of people report feeling anxious'],['23% of people say it helps with depression'],['14% of people report feeling dizzy'],['9% of people report feeling dry eyes'],['14% of people report feeling dry mouth'],['52% of people report feeling euphoric'],['57% of people report feeling happy'],['19% of people say it helps with insomnia'],['38% of people say it helps with pain'],['9% of people report feeling paranoid'],['57% of people report feeling relaxed'],,['38% of people say it helps with stress'],['66% of people report feeling uplifted'],,,,,['14% of people say it helps with fatigue'],,['38% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ken's Kush,Hybrid,THC 18%,4.3,(35),24 people reported 189 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['8% of people report feeling anxious'],['16% of people say it helps with depression'],,['25% of people report feeling dry eyes'],['29% of people report feeling dry mouth'],['54% of people report feeling euphoric'],['62% of people report feeling happy'],['20% of people say it helps with insomnia'],['25% of people say it helps with pain'],,['87% of people report feeling relaxed'],,['29% of people say it helps with stress'],,,,,,,,,['33% of people report feeling focused'],,,,,,,,['16% of people say it helps with muscle spasms'],,,,,,['45% of people report feeling aroused'],,,,,,,,,,,,,,,,
South Indian Sativa,Sativa,Unavailable,4.3,(12),8 people reported 88 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['12% of people report feeling anxious'],['37% of people say it helps with depression'],,['12% of people report feeling dry eyes'],['50% of people report feeling dry mouth'],['87% of people report feeling euphoric'],,,['50% of people say it helps with pain'],,['50% of people report feeling relaxed'],,['50% of people say it helps with stress'],['50% of people report feeling uplifted'],,['50% of people report feeling creative'],['12% of people report feeling headache'],['75% of people report feeling energetic'],,,,,,,,,,,,['37% of people say it helps with muscle spasms'],,['37% of people say it helps with inflammation'],,,,,,,,,,,,,,,,,,,,
Silverhawks OG,Sativa,THC 21%,4.9,(14),12 people reported 122 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['33% of people say it helps with depression'],['8% of people report feeling dizzy'],['16% of people report feeling dry eyes'],['8% of people report feeling dry mouth'],['75% of people report feeling euphoric'],['50% of people report feeling happy'],,,['8% of people report feeling paranoid'],['50% of people report feeling relaxed'],,['50% of people say it helps with stress'],['83% of people report feeling uplifted'],,,,['66% of people report feeling energetic'],['33% of people say it helps with fatigue'],,,,['25% of people say it helps with headaches'],,,,,,,,,,,,,,,['33% of people say it helps with add/adhd'],,,,,,,,,,,,,,
Blackberry Diesel,Sativa,THC 14%,4.1,(21),16 people reported 84 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['25% of people report feeling anxious'],['12% of people say it helps with depression'],,['12% of people report feeling dry eyes'],['18% of people report feeling dry mouth'],['43% of people report feeling euphoric'],['62% of people report feeling happy'],,,['6% of people report feeling paranoid'],['43% of people report feeling relaxed'],,['25% of people say it helps with stress'],['43% of people report feeling uplifted'],,,['6% of people report feeling headache'],['43% of people report feeling energetic'],['12% of people say it helps with fatigue'],,,,['12% of people say it helps with headaches'],['12% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Dream,Hybrid,Unavailable,4.7,(32),25 people reported 226 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],['8% of people report feeling anxious'],['44% of people say it helps with depression'],['4% of people report feeling dizzy'],['4% of people report feeling dry eyes'],['20% of people report feeling dry mouth'],,['72% of people report feeling happy'],,['32% of people say it helps with pain'],,['56% of people report feeling relaxed'],,['44% of people say it helps with stress'],['72% of people report feeling uplifted'],,,['4% of people report feeling headache'],['52% of people report feeling energetic'],,,,['48% of people report feeling focused'],['28% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilac OG,Hybrid,Unavailable,4.5,(2),2 people reported 6 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,,,,,,,,,['50% of people report feeling uplifted'],['50% of people report feeling hungry'],,,['50% of people report feeling energetic'],,,['50% of people report feeling talkative'],['50% of people report feeling focused'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Bubble,Sativa,THC 16%,4.4,(43),33 people reported 239 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['6% of people report feeling anxious'],['21% of people say it helps with depression'],['3% of people report feeling dizzy'],['3% of people report feeling dry eyes'],['21% of people report feeling dry mouth'],['51% of people report feeling euphoric'],['63% of people report feeling happy'],,['15% of people say it helps with pain'],['9% of people report feeling paranoid'],,,['24% of people say it helps with stress'],['48% of people report feeling uplifted'],,,,['60% of people report feeling energetic'],,,['54% of people report feeling talkative'],,['18% of people say it helps with headaches'],,,,,,,['15% of people say it helps with muscle spasms'],,,,,,,,,,,,,,,,,,,,,,
Crater Lake,Hybrid,THC 20%,4.7,(36),28 people reported 168 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['17% of people say it helps with anxiety'],,['17% of people say it helps with depression'],['3% of people report feeling dizzy'],['3% of people report feeling dry eyes'],['7% of people report feeling dry mouth'],['53% of people report feeling euphoric'],['64% of people report feeling happy'],['7% of people say it helps with insomnia'],['14% of people say it helps with pain'],,['53% of people report feeling relaxed'],,['21% of people say it helps with stress'],['64% of people report feeling uplifted'],,['39% of people report feeling creative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Lights,Sativa,THC 13%,3.9,(9),6 people reported 36 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,['33% of people report feeling dry eyes'],['16% of people report feeling dry mouth'],['83% of people report feeling euphoric'],,,,,['50% of people report feeling relaxed'],,,['83% of people report feeling uplifted'],,['66% of people report feeling creative'],,,,,,['50% of people report feeling focused'],['16% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,['16% of people say it helps with seizures'],,,,,,,,,,,
Green Love Potion,Indica,THC 17%,4.4,(43),25 people reported 239 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['44% of people say it helps with anxiety'],,['40% of people say it helps with depression'],,['8% of people report feeling dry eyes'],['16% of people report feeling dry mouth'],['52% of people report feeling euphoric'],['56% of people report feeling happy'],,['52% of people say it helps with pain'],,['76% of people report feeling relaxed'],,['48% of people say it helps with stress'],['52% of people report feeling uplifted'],,,['4% of people report feeling headache'],,,,,,,,,,,,,['32% of people say it helps with muscle spasms'],,,,,,['36% of people report feeling aroused'],,,,,,,,,,,,,,,,
Pineberry,Hybrid,THC 17%,4.7,(7),7 people reported 56 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['28% of people say it helps with depression'],['14% of people report feeling dizzy'],,['14% of people report feeling dry mouth'],['42% of people report feeling euphoric'],,,['42% of people say it helps with pain'],,['100% of people report feeling relaxed'],,['57% of people say it helps with stress'],['42% of people report feeling uplifted'],,,,,['28% of people say it helps with fatigue'],,,['71% of people report feeling focused'],['28% of people say it helps with headaches'],,['14% of people report feeling tingly'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomic Bomb,Hybrid,THC 14%,5.0,(4),2 people reported 22 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['50% of people say it helps with depression'],,,['50% of people report feeling dry mouth'],['100% of people report feeling euphoric'],,,['50% of people say it helps with pain'],,['50% of people report feeling relaxed'],,,['50% of people report feeling uplifted'],['50% of people report feeling hungry'],['100% of people report feeling creative'],,,,,,,['50% of people say it helps with headaches'],,,,,,['50% of people say it helps with cramps'],['50% of people say it helps with muscle spasms'],,,,,,,,,,,,,,,,,,,,,,
Limon,Sativa,THC 23%,4.8,(29),18 people reported 133 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['33% of people say it helps with depression'],['5% of people report feeling dizzy'],['16% of people report feeling dry eyes'],['11% of people report feeling dry mouth'],['77% of people report feeling euphoric'],['50% of people report feeling happy'],,['27% of people say it helps with pain'],['11% of people report feeling paranoid'],['44% of people report feeling relaxed'],,['22% of people say it helps with stress'],['44% of people report feeling uplifted'],,,,['44% of people report feeling energetic'],['16% of people say it helps with fatigue'],,,,,,,,,,,,['22% of people say it helps with bipolar disorder'],,,,,,,,,,,,,,,,,,,,,
Grimace OG,Indica,THC 17%,4.8,(14),10 people reported 56 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['20% of people say it helps with depression'],,['30% of people report feeling dry eyes'],['20% of people report feeling dry mouth'],['80% of people report feeling euphoric'],['40% of people report feeling happy'],['20% of people say it helps with insomnia'],,,['50% of people report feeling relaxed'],['50% of people report feeling sleepy'],,,,,,,['10% of people say it helps with fatigue'],,,,,['20% of people say it helps with lack of appetite'],['40% of people report feeling tingly'],,,,,['10% of people say it helps with muscle spasms'],,,,,,,,,,,,,,,,,,,,,,
Flo Limone,Sativa,Unavailable,4.7,(13),6 people reported 79 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['33% of people say it helps with depression'],,['33% of people report feeling dry eyes'],['33% of people report feeling dry mouth'],,['100% of people report feeling happy'],,['50% of people say it helps with pain'],,['83% of people report feeling relaxed'],,['50% of people say it helps with stress'],['100% of people report feeling uplifted'],,,,,['33% of people say it helps with fatigue'],,['66% of people report feeling talkative'],,,['66% of people say it helps with lack of appetite'],['83% of people report feeling tingly'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohazard,Hybrid,Unavailable,4.7,(19),9 people reported 80 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['11% of people report feeling anxious'],['55% of people say it helps with depression'],['11% of people report feeling dizzy'],['33% of people report feeling dry eyes'],['33% of people report feeling dry mouth'],['44% of people report feeling euphoric'],,,['55% of people say it helps with pain'],,['66% of people report feeling relaxed'],['44% of people report feeling sleepy'],['55% of people say it helps with stress'],['33% of people report feeling uplifted'],,['55% of people report feeling creative'],['11% of people report feeling headache'],,['22% of people say it helps with fatigue'],,,,,,,,,,,,,['33% of people say it helps with inflammation'],,,,,,,,,,,,,,,,,,,,
Beastmode OG,Hybrid,THC 18%,4.3,(38),25 people reported 189 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],['20% of people report feeling anxious'],,['4% of people report feeling dizzy'],['16% of people report feeling dry eyes'],['24% of people report feeling dry mouth'],['56% of people report feeling euphoric'],['60% of people report feeling happy'],,['28% of people say it helps with pain'],['12% of people report feeling paranoid'],['68% of people report feeling relaxed'],,['36% of people say it helps with stress'],['60% of people report feeling uplifted'],,,,['40% of people report feeling energetic'],['16% of people say it helps with fatigue'],,,,,['16% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mother’s Helper,Hybrid,Unavailable,4.6,(112),71 people reported 598 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['2% of people report feeling anxious'],['33% of people say it helps with depression'],,['1% of people report feeling dry eyes'],['19% of people report feeling dry mouth'],,['61% of people report feeling happy'],,['42% of people say it helps with pain'],,,,['35% of people say it helps with stress'],['67% of people report feeling uplifted'],,['49% of people report feeling creative'],['1% of people report feeling headache'],['80% of people report feeling energetic'],['29% of people say it helps with fatigue'],,,['57% of people report feeling focused'],['30% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Master Kush,Indica,THC 20%,4.7,(19),10 people reported 71 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['40% of people say it helps with depression'],,['60% of people report feeling dry eyes'],['60% of people report feeling dry mouth'],['70% of people report feeling euphoric'],,['40% of people say it helps with insomnia'],['20% of people say it helps with pain'],,['100% of people report feeling relaxed'],['60% of people report feeling sleepy'],['40% of people say it helps with stress'],['30% of people report feeling uplifted'],,,,,,,,,,,['40% of people report feeling tingly'],,,,,,,,,,,,,['20% of people say it helps with add/adhd'],,,,,,,,,,,,,,
